                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.2633,                 1.1618,                 1.3693,                 0.5771,                0.71682,                0.71227,                0.38922,                 1.5269,                 1.2689,                 1.5512,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.2633,                 1.1618,                 1.3693,                 0.5771,                0.71682,                0.71227,                0.38922,                 1.5269,                 1.2689,                 1.5512,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.2479,                 1.1235,                 1.3509,                0.63157,                0.72298,                0.72392,                0.39205,                 1.5284,                 1.2298,                 1.5367,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.2479,                 1.1235,                 1.3509,                0.63157,                0.72298,                0.72392,                0.39205,                 1.5284,                 1.2298,                 1.5367,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.2587,                 1.1443,                 1.3668,                0.65251,                0.69137,                0.72727,                 0.3997,                 1.5192,                 1.2198,                 1.5409,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.2587,                 1.1443,                 1.3668,                0.65251,                0.69137,                0.72727,                 0.3997,                 1.5192,                 1.2198,                 1.5409,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.2349,                 1.0987,                 1.3542,                0.63095,                 0.7208,                0.73666,                0.40375,                 1.5221,                 1.2227,                 1.5506,               0.000208,               0.000208,               0.000208
                     82,                 1.2349,                 1.0987,                 1.3542,                0.63095,                 0.7208,                0.73666,                0.40375,                 1.5221,                 1.2227,                 1.5506,               0.000208,               0.000208,               0.000208
                     83,                 1.2586,                  1.138,                 1.3641,                 0.7074,                0.67741,                0.73666,                0.39447,                  1.543,                 1.2349,                 1.5619,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.2586,                  1.138,                 1.3641,                 0.7074,                0.67741,                0.73666,                0.39447,                  1.543,                 1.2349,                 1.5619,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.2479,                  1.159,                 1.3604,                0.67941,                0.67753,                0.74003,                  0.401,                 1.5349,                 1.2205,                 1.5541,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.2479,                  1.159,                 1.3604,                0.67941,                0.67753,                0.74003,                  0.401,                 1.5349,                 1.2205,                 1.5541,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.2506,                 1.1092,                 1.3494,                0.68798,                0.66452,                0.73333,                  0.389,                 1.5436,                 1.2339,                 1.5545,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.2506,                 1.1092,                 1.3494,                0.68798,                0.66452,                0.73333,                  0.389,                 1.5436,                 1.2339,                 1.5545,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.2404,                 1.1088,                  1.355,                0.61509,                0.72523,                0.72131,                0.39232,                 1.5374,                 1.2487,                 1.5626,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.2404,                 1.1088,                  1.355,                0.61509,                0.72523,                0.72131,                0.39232,                 1.5374,                 1.2487,                 1.5626,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.2211,                 1.1058,                  1.343,                0.64374,                0.71282,                0.73123,                0.40187,                   1.53,                 1.2249,                  1.546,              0.0001585,              0.0001585,              0.0001585
